Model No.,Frequency (Hz),Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link
BCV-1500-65,60,1,2,1.5kW,80,"3""",65,900,9,30,Dirty Water,https://www.hungpump.com/bcv
BCV-1500-65,60,3,2,1.5kW,80,"3""",65,900,9,30,Dirty Water,https://www.hungpump.com/bcv
BCV-1500-65,60,3,2,1.5kW,80,"3""",65,900,9,30,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-35,60,3,3,2.2kW,80,"3""",35,800,20,66,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-35,60,3,3,2.2kW,80,"3""",35,800,20,66,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-50,60,3,3,2.2kW,80,"3""",50,900,18,59,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-50,60,3,3,2.2kW,80,"3""",50,900,18,59,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-65,60,3,3,2.2kW,80,"3""",65,1200,11,36,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-65,60,3,3,2.2kW,80,"3""",65,1200,11,36,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-80,60,3,3,2.2kW,80,"3""",80,1300,9,30,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-80,60,3,3,2.2kW,80,"3""",80,1300,9,30,Dirty Water,https://www.hungpump.com/bcv
BCV-3700-50,60,3,5,3.7kW,100,"4""",50,1100,21,69,Dirty Water,https://www.hungpump.com/bcv
BCV-3700-50,60,3,5,3.7kW,100,"4""",50,1100,21,69,Dirty Water,https://www.hungpump.com/bcv
BCV-3700-80,60,3,5,3.7kW,100,"4""",80,1500,11,36,Dirty Water,https://www.hungpump.com/bcv
BCV-3700-80,60,3,5,3.7kW,100,"4""",80,1500,11,36,Dirty Water,https://www.hungpump.com/bcv
BCV-400-30,60,1,1/2,400W,50,"2""",30,320,9,30,Dirty Water,https://www.hungpump.com/bcv
BCV-400-30,60,1,1/2,400W,50,"2""",30,320,9,30,Dirty Water,https://www.hungpump.com/bcv
BCV-400-50,60,1,1/2,400W,50,"2""",50,380,7,23,Dirty Water,https://www.hungpump.com/bcv
BCV-400-50,60,1,1/2,400W,50,"2""",50,380,7,23,Dirty Water,https://www.hungpump.com/bcv
BCV-5500-50,60,3,5,3.7kW,100,"4""",50,1200,28,92,Dirty Water,https://www.hungpump.com/bcv
BCV-5500-50,60,3,5,3.7kW,100,"4""",50,1200,28,92,Dirty Water,https://www.hungpump.com/bcv
BCV-750-30,60,1,1,750W,50,"2""",30,380,12,39,Dirty Water,https://www.hungpump.com/bcv
BCV-750-30,60,1,1,750W,50,"2""",30,380,12,39,Dirty Water,https://www.hungpump.com/bcv
BCV-750-50,60,1,1,750W,50,"2""",50,500,10,33,Dirty Water,https://www.hungpump.com/bcv
BCV-750-50,60,1,1,750W,50,"2""",50,500,10,33,Dirty Water,https://www.hungpump.com/bcv
BDC-400,50,1,1/2,400W,50,"2""",12,185,6,20,,https://www.hungpump.com/bdc
BDC-400,60,1,1/2,400W,50,"2""",12,185,6,20,,https://www.hungpump.com/bdc
BPH-300,60,1,1/3,300W,40,"1-1/2""",3,75,21,69,,https://www.hungpump.com/bph
BPH-300,60,1,1/3,300W,40,"1-1/2""",3,75,21,69,,https://www.hungpump.com/bph
BPO-100,60,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bpo
BPO-100,60,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bpo
BPO-100,60,1,1/6,100W,25,"1""",3,70,6,20,Clean Water,https://www.hungpump.com/bpo
BPO-100EA,60,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bpo
BPO-100EA,60,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bpo
BPO-100EA,60,1,1/6,100W,25,"1""",3,70,6,20,Clean Water,https://www.hungpump.com/bpo
BPO-200,60,1,1/4,200W,32,"1-1/4""",3,130,7,23,Clean Water,https://www.hungpump.com/bpo
BPO-200,60,1,1/4,200W,32,"1-1/4""",3,115,7,23,Clean Water,https://www.hungpump.com/bpo
BPO-200EA,60,1,1/4,200W,32,"1-1/4""",3,130,7,23,Clean Water,https://www.hungpump.com/bpo
BPO-200EA,60,1,1/4,200W,32,"1-1/4""",3,115,7,23,Clean Water,https://www.hungpump.com/bpo
BPO-300,60,1,1/3,300W,40,"1-1/2""",6,200,8.5,28,Clean Water,https://www.hungpump.com/bpo
BPO-300,60,1,1/3,300W,40,"1-1/2""",6,200,8.5,28,Clean Water,https://www.hungpump.com/bpo
BPO-300A,60,1,1/3,300W,40,"1-1/2""",6,200,8.5,28,Clean Water,https://www.hungpump.com/bpo
BPO-300A,60,1,1/3,300W,40,"1-1/2""",6,200,8.5,28,Clean Water,https://www.hungpump.com/bpo
BPO-300EA,60,1,1/3,300W,40,"1-1/2""",6,200,8.5,28,Clean Water,https://www.hungpump.com/bpo
BPO-300EA,60,1,1/3,300W,40,"1-1/2""",6,200,8.5,28,Clean Water,https://www.hungpump.com/bpo
BPS-100,60,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100,60,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100G,60,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100G,60,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100GA,60,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100GA,60,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-180M,60,1,1/6,100W,25,"1""",5,120,5.5,18,Clean Water,https://www.hungpump.com/bps
BPS-180M,60,1,1/6,100W,25,"1""",5,120,5.5,18,Clean Water,https://www.hungpump.com/bps
BPS-200,60,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/bps
M-68,60,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/m
M-68A,60,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/m
BPS-200,60,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/bps
BPS-200D,60,1,1/4,200W,32,"1-1/4""",5,180,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-200D,60,1,1/4,200W,32,"1-1/4""",5,180,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-200M,60,1,1/4,200W,32,"1-1/4""",5,180,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-200M,60,1,1/4,200W,32,"1-1/4""",5,180,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-300,60,1,1/3,300W,40,"1-1/2""",5,180,8,26,Clean Water,https://www.hungpump.com/bps
BPS-300,60,1,1/3,300W,40,"1-1/2""",5,180,8,26,Clean Water,https://www.hungpump.com/bps
BPS-300A,60,1,1/3,300W,40,"1-1/2""",5,180,8,26,Clean Water,https://www.hungpump.com/bps
BPS-300A,60,1,1/3,300W,40,"1-1/2""",5,180,8,26,Clean Water,https://www.hungpump.com/bps
BPS-400,60,1,1/2,400W,50,"2""",5,220,9,30,Clean Water,https://www.hungpump.com/bps
BPS-400,60,1,1/2,400W,50,"2""",5,220,9,30,Clean Water,https://www.hungpump.com/bps
