Model No.,Frequency (Hz),Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link
DSPK-75,60,3,7.5,5.5kW,100,"4""",50,2100,34,112,,https://www.hungpump.com/dspk
DSPK-75G,60,3,7.5,5.5kW,100,"4""",50,2100,34,112,,https://www.hungpump.com/dspk
FAS-150,60,1,1/5,150W,50,"2""",19,230,6,20,,https://www.hungpump.com/fas
FAS-150,60,1,1/5,150W,50,"2""",19,230,6,20,,https://www.hungpump.com/fas
FAS-250,60,1,1/3,250W,50,"2""",19,260,7,23,,https://www.hungpump.com/fas
FVS-250LV,60,1,1/3,250W,40,"1-1/2""",19,290,9,30,,https://www.hungpump.com/fvs
FAS-250,60,1,1/3,250W,50,"2""",19,260,7,23,,https://www.hungpump.com/fas
FAS-400,60,1,1/2,400W,50,"2""",19,320,9,30,,https://www.hungpump.com/fas
FVS-400LV,60,1,1/2,400W,50,"2""",19,320,10,33,,https://www.hungpump.com/fvs
FAS-400,60,1,1/2,400W,50,"2""",19,320,9,30,,https://www.hungpump.com/fas
FAS-750,60,1,1,750W,50,"2""",19,360,12,39,,https://www.hungpump.com/fas
FAS-750,60,1,1,750W,50,"2""",19,360,12,39,,https://www.hungpump.com/fas
FAS-750A,60,1,1,750W,50,"2""",19,360,12,39,,https://www.hungpump.com/fas
FVP-400,60,1,1/2,400W,50,"2""",8,320,9.5,31,,https://www.hungpump.com/fvp
FVP-400,60,1,1/2,400W,50,"2""",8,320,9.5,31,,https://www.hungpump.com/fvp
FVP-750,60,1,1,750W,50,"2""",8,365,12,40,,https://www.hungpump.com/fvp
GC-07,60,1,3/4,550W,32,"1-1/4""",N/A,140,11,36,Grinder,https://www.hungpump.com/gc
GC-0761,60,1,3/4,550W,32,"1-1/4""",N/A,140,11,36,Grinder,https://www.hungpump.com/gc
GC-07,60,1,3/4,550W,32,"1-1/4""",N/A,140,11,36,Grinder,https://www.hungpump.com/gc
GC-07,60,3,3/4,550W,32,"1-1/4""",N/A,140,11,36,Grinder,https://www.hungpump.com/gc
GC-07,60,3,3/4,550W,32,"1-1/4""",N/A,140,11,36,Grinder,https://www.hungpump.com/gc
GC-10,60,1,1,750W,32,"1-1/4""",N/A,160,16,52,Grinder,https://www.hungpump.com/gc
